"subject_id","X0__0","X1__0","X2__0","X3__0","X4__0","X0__1","X1__1","X2__1","X3__1","X4__1"
"0","7.0","1.0","3.0","0.0","4.0","7.0","7.0","1.0","3.0","2.0"
"1","2.0","1.0","4.0","5.0","5.0","0.0","3.0","7.0","7.0","2.0"
"2","2.0","1.0","3.0","2.0","2.0","4.0","5.0","7.0","5.0","0.0"
"3","5.0","5.0","2.0","1.0","7.0","5.0","1.0","3.0","1.0","4.0"
"4","2.0","6.0","1.0","0.0","4.0","3.0","4.0","0.0","0.0","4.0"
"5","5.0","0.0","1.0","0.0","7.0","7.0","1.0","1.0","4.0","2.0"
"6","2.0","5.0","6.0","5.0","2.0","0.0","0.0","4.0","4.0","5.0"
"7","2.0","7.0","7.0","3.0","2.0","5.0","2.0","0.0","6.0","1.0"
"8","6.0","3.0","1.0","0.0","0.0","2.0","2.0","0.0","0.0","4.0"
"9","7.0","4.0","1.0","6.0","2.0","4.0","2.0","1.0","4.0","6.0"
"10","4.0","4.0","1.0","0.0","1.0","5.0","2.0","5.0","1.0","6.0"
"11","5.0","7.0","4.0","6.0","7.0","7.0","5.0","3.0","4.0","2.0"
"12","2.0","0.0","4.0","5.0","5.0","7.0","4.0","6.0","0.0","4.0"
"13","2.0","1.0","2.0","1.0","2.0","4.0","6.0","5.0","4.0","7.0"
"14","2.0","1.0","6.0","5.0","2.0","5.0","2.0","2.0","1.0","3.0"
"15","2.0","2.0","5.0","3.0","2.0","2.0","7.0","1.0","1.0","1.0"
"16","2.0","2.0","3.0","2.0","2.0","2.0","5.0","2.0","6.0","5.0"
"17","5.0","6.0","3.0","6.0","7.0","7.0","7.0","4.0","0.0","2.0"
"18","5.0","6.0","5.0","4.0","4.0","7.0","2.0","3.0","4.0","4.0"
"19","6.0","6.0","5.0","6.0","0.0","1.0","5.0","4.0","1.0","7.0"
"20","5.0","4.0","6.0","6.0","7.0","1.0","7.0","2.0","4.0","0.0"
"21","5.0","7.0","7.0","3.0","6.0","7.0","4.0","0.0","0.0","1.0"
"22","5.0","6.0","3.0","0.0","0.0","0.0","7.0","2.0","3.0","2.0"
"23","5.0","2.0","5.0","4.0","4.0","7.0","7.0","6.0","5.0","3.0"
"24","5.0","0.0","4.0","5.0","2.0","7.0","1.0","2.0","4.0","7.0"
